full_path,size_bytes,extension,label
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Siguiri_70101_N15_09_W02_27_Gandamiya_mtn_behind_03_2011_JH.JPG,3075629,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sosari_aka_Sassari_70105_N14_35_W03_54_village_03_2012_MD_JH.JPG,1995657,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Sougi_70107_N14_38_W03_57_village_03_2012_MD_JH.JPG,1769901,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tefewal_near_Sangou_70109_N14_40_W03_53_village_03_2012_MD_JH.JPG,1753336,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tialeggel_near_Koro_70111_N14_09_W03_09_village_05_2011_JH.JPG,3122261,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tiena_near_Zon_70112_N13_53_W03_07_village_05_2011_JH.JPG,3134870,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tomborguel_near_Boudou_70113_N14_40_W03_52_village_03_2012_MD_JH.JPG,1898116,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Tombori_70114_N15_05_W02_56_village_03_2011_JH.JPG,3082109,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Touwa_70116_N15_13_W02_30_village_03_2011_JH.JPG,1550677,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Weliwarou_near_Toroli_70118_N13_54_W03_10_village_05_2011_JH.JPG,3050886,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_Weloungara_70119_N14_41_W03_51_village_03_2012_MD_JH.JPG,1907702,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Fulfulde_YadiangaPouloGoro_70121_N14_03_W03_11_village_05_2011_JH.JPG,3203323,jpg,decompressed
/UMich/download/DeepBlueData_0g354f98q/Readme_CentralMali_GeographyPhotos.pdf,762012,pdf,decompressed
/UMich/download/DeepBlueData_0g354f98q/w_0g354f98q_metadata_report.txt,1036,txt,decompressed
/UMich/download/DeepBlueData_0k225b245/README.md,1003,md,decompressed
/UMich/download/DeepBlueData_0k225b245/arrows_folding.zip,56861698,zip,compressed
/UMich/download/DeepBlueData_0k225b245/bending_vs_variation.zip,113255248,zip,compressed
/UMich/download/DeepBlueData_0k225b245/curved_triangle.zip,83239157,zip,compressed
/UMich/download/DeepBlueData_0k225b245/example_shapes.zip,175098538,zip,compressed
/UMich/download/DeepBlueData_0k225b245/nskT_vs_fakT.zip,83675120,zip,compressed
/UMich/download/DeepBlueData_0k225b245/stability.zip,203283155,zip,compressed
/UMich/download/DeepBlueData_0k225b245/tuning_design_forM.zip,19657370,zip,compressed
/UMich/download/DeepBlueData_0k225b245/two_neighbor_cds_segments_.zip,65353370,zip,compressed
/UMich/download/DeepBlueData_0k225b245/w_0k225b245_metadata_report.txt,4212,txt,decompressed
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_00.hdf5,44289088,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_01.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_02.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_03.hdf5,11340864,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_04.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_05.hdf5,26893376,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_06.hdf5,37962816,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_07.hdf5,14767720,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_08.hdf5,20303592,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_09.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_10.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_100.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_101.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_102.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_103.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_104.hdf5,11867200,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_105.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_106.hdf5,31636544,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_107.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_108.hdf5,15031360,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_109.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_11.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_110.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_111.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_112.hdf5,17138776,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_113.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_114.hdf5,31636544,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_115.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_116.hdf5,11340864,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_117.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_118.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_119.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_12.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_120.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_121.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_122.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_123.hdf5,16612416,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_124.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_125.hdf5,8968096,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_126.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_127.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_128.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_129.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_13.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_130.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_131.hdf5,22939352,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_132.hdf5,16350272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_133.hdf5,24521856,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_134.hdf5,17929712,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_135.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_136.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_137.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_138.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_139.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_14.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_140.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_141.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_142.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_143.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_144.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_145.hdf5,26629208,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_146.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_147.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_148.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_149.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_15.hdf5,16875304,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_150.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_151.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_152.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_153.hdf5,13713104,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_154.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_155.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_156.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_157.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_158.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_159.hdf5,6331456,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_16.hdf5,26893376,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_160.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_161.hdf5,22410840,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_162.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_163.hdf5,6069312,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_164.hdf5,12657728,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_165.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_166.hdf5,21093440,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_167.hdf5,18984000,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_168.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_169.hdf5,25310272,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_17.hdf5,37962816,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_170.hdf5,19512488,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_171.hdf5,31636544,hdf5,hierarch
/UMich/download/DeepBlueData_0r967377q/B_HARPs_CNNencoded_part_172.hdf5,25310272,hdf5,hierarch
